Total,Generation,PersonalityTrait,Likes,DisLikes,Bonus,combinedDecision
1b,1b,Bold,Bitter,Spicy,6b,ground none
3b,1b,Brave,Spicy,Sweet,1b,ground none
1b,1b,Bold,Sour,Spicy,11b,normal none
4b,1b,Timid,Sweet,Spicy,9b,normal none
2b,1b,Naive,Sweet,Dry,5b,water none
4b,1b,Adamant,Spicy,Dry,14b,water none
2b,1b,Lonely,Spicy,Sour,1b,fighting none
4b,1b,Naughty,Spicy,Bitter,2b,fighting none
2b,1b,Jolly,Sweet,Sweet,12b,fire none
5b,1b,Lonely,Spicy,Sour,9b,fire none
2b,1b,Quiet,Sweet,Sweet,4b,water none
3b,1b,Lax,Sour,Bitter,15b,water none
5b,1b,Brave,Spicy,Sweet,13b,water fighting
2b,1b,Naive,Sweet,Dry,3b,psychic none
3b,1b,Jolly,Sweet,Sweet,8b,psychic none
4b,1b,Naive,Sweet,Dry,13b,psychic none
6b,1b,Bold,Sour,Spicy,2b,psychic none
2b,1b,Brave,Spicy,Sweet,13b,fighting none
3b,1b,Lonely,Spicy,Sour,9b,fighting none
5b,1b,Brave,Spicy,Sweet,5b,fighting none
2b,1b,Naughty,Spicy,Bitter,9b,grass poison
3b,1b,Lonely,Spicy,Sour,6b,grass poison
4b,1b,Brave,Spicy,Sweet,8b,grass poison
2b,1b,Modest,Dry,Spicy,5b,water poison
5b,1b,Impish,Sour,Dry,9b,water poison
2b,1b,Naughty,Spicy,Bitter,9b,rock ground
3b,1b,Lonely,Spicy,Sour,9b,rock ground
4b,1b,Lonely,Spicy,Sour,11b,rock ground
3b,1b,Lonely,Spicy,Sour,5b,fire none
4b,1b,Lonely,Spicy,Sour,5b,fire none
2b,1b,Bold,Sour,Spicy,9b,water psychic
4b,1b,Lonely,Spicy,Sour,5b,water psychic
6b,1b,Naughty,Spicy,Bitter,15b,water psychic
2b,1b,Relaxed,Sour,Sweet,14b,electric steel
4b,1b,Relaxed,Sour,Sweet,2b,electric steel
2b,1b,Relaxed,Bitter,Sweet,11b,normal flying
2b,1b,Naughty,Spicy,Bitter,10b,normal flying
4b,1b,Naughty,Spicy,Bitter,12b,normal flying
2b,1b,Mild,Dry,Sour,9b,water none
4b,1b,Bold,Sour,Spicy,9b,water ice
2b,1b,Naughty,Spicy,Bitter,5b,poison none
4b,1b,Lonely,Spicy,Sour,7b,poison none
2b,1b,Relaxed,Sour,?,10b,water none
5b,1b,Brave,Spicy,?,13b,water ice
2b,1b,Naive,Sweet,Dry,1b,ghost poison
3b,1b,Jolly,Sweet,Sweet,1b,ghost poison
4b,1b,Hasty,Sweet,Sour,3b,ghost poison
6b,1b,Relaxed,Sour,Sweet,3b,ghost poison
3b,1b,Lax,Sour,Bitter,5b,rock ground
2b,1b,Quiet,Dry,Sweet,8b,psychic none
4b,1b,Adamant,Spicy,Dry,13b,psychic none
2b,1b,Naughty,Spicy,Bitter,14b,water none
4b,1b,Adamant,Spicy,Dry,2b,water none
2b,1b,Bold,Dry,Spicy,7b,electric none
4b,1b,Impish,Sour,Dry,14b,electric none
2b,1b,Relaxed,Sour,Sweet,10b,grass psychic
5b,1b,Lonely,Spicy,Sour,1b,grass psychic
2b,1b,Bold,Sour,Spicy,2b,ground none
3b,1b,Adamant,Spicy,Dry,13b,ground none
4b,1b,Brave,Spicy,Sweet,3b,fighting none
4b,1b,Lonely,Spicy,Sour,8b,fighting none
3b,1b,Lax,Sour,Bitter,6b,normal none
2b,1b,Relaxed,Sour,Sweet,10b,poison none
4b,1b,Brave,Spicy,Sweet,13b,poison none
2b,1b,Adamant,Spicy,Dry,10b,ground rock
4b,1b,Naughty,Spicy,Bitter,6b,ground rock
4b,1b,Quiet,Dry,Sweet,2b,normal none
4b,1b,Relaxed,Sour,Sweet,8b,grass none
4b,1b,Brave,Spicy,Sweet,5b,normal none
6b,1b,Brave,Spicy,Sweet,2b,normal none
2b,1b,Relaxed,Sour,Sweet,9b,water none
4b,1b,Lax,Sour,Bitter,3b,water none
2b,1b,Naive,Dry,Dry,5b,water none
4b,1b,Brave,Spicy,Sweet,6b,water none
2b,1b,Naive,Sweet,Dry,15b,water none
5b,1b,Lonely,Spicy,Sour,5b,water psychic
4b,1b,Relaxed,Sour,Sweet,5b,psychic fairy
4b,1b,Adamant,Spicy,Dry,11b,bug flying
4b,1b,Jolly,Sweet,Sweet,2b,ice psychic
4b,1b,Lonely,Spicy,Sour,9b,electric none
4b,1b,Adamant,Spicy,Dry,9b,fire none
4b,1b,Lonely,Spicy,Sour,1b,bug none
6b,1b,Naughty,Spicy,Bitter,6b,bug flying
4b,1b,Brave,Spicy,Sweet,6b,normal none
0b,1b,Impish,Sour,Dry,2b,water none
5b,1b,Naughty,Spicy,Bitter,7b,water flying
6b,1b,Lonely,Spicy,Sour,1b,water dark
5b,1b,Lonely,Spicy,Sour,0b,water ice
1b,1b,Relaxed,Sour,Sweet,6b,normal none
2b,1b,Mild,Dry,Sour,4b,normal none
5b,1b,Jolly,Sweet,Sweet,14b,water none
5b,1b,Hasty,Sweet,Sour,5b,electric none
5b,1b,Brave,Spicy,Sweet,13b,fire none
3b,1b,Lax,Sour,Bitter,14b,normal none
2b,1b,Lax,Sour,Bitter,3b,rock water
4b,1b,Lax,Sour,Bitter,2b,rock water
2b,1b,Lonely,Spicy,Sour,3b,rock water
4b,1b,Naughty,Spicy,Bitter,11b,rock water
5b,1b,Adamant,Spicy,Dry,3b,rock flying
6b,1b,Naughty,Spicy,Bitter,12b,rock flying
5b,1b,Adamant,Spicy,Dry,3b,normal none
6b,1b,Lonely,Spicy,Sour,12b,ice flying
6b,1b,Adamant,Spicy,Dry,11b,electric flying
6b,1b,Brave,Spicy,Sweet,10b,fire flying
2b,1b,Rash,Bitter,Bitter,0b,dragon none
3b,1b,Brave,Spicy,Sweet,12b,dragon none
6b,1b,Naughty,Spicy,Bitter,8b,dragon flying
7b,1b,Naughty,Spicy,Bitter,4b,psychic none
8b,1b,Adamant,Spicy,Dry,7b,psychic fighting
8b,1b,Brave,Spicy,Sweet,6b,psychic none
6b,1b,Adamant,Spicy,Dry,11b,psychic none
2b,2b,Lax,Sour,Bitter,9b,grass none
3b,2b,Bold,Sour,Spicy,10b,grass none
5b,2b,Adamant,Spicy,Dry,0b,grass none
2b,2b,Timid,Sweet,Spicy,13b,fire none
3b,2b,Jolly,Sweet,Sweet,3b,fire none
5b,2b,Lonely,Spicy,Sour,8b,fire none
2b,2b,Mild,Dry,Sour,1b,water none
3b,2b,Adamant,Spicy,Dry,11b,water none
5b,2b,Adamant,Spicy,Dry,6b,water none
0b,2b,Modest,Sour,Spicy,5b,normal none
3b,2b,Lonely,Spicy,Sour,3b,normal none
1b,2b,Calm,Dry,Spicy,10b,normal flying
4b,2b,Jolly,Sweet,Sweet,8b,normal flying
1b,2b,Mild,Dry,Sour,4b,bug flying
3b,2b,Quiet,Dry,Sweet,14b,bug flying
1b,2b,Mild,Sour,Sour,7b,bug poison
3b,2b,Lonely,Spicy,Sour,14b,bug poison
5b,2b,Naughty,Spicy,Bitter,9b,poison flying
2b,2b,Relaxed,Sour,Sweet,15b,water electric
4b,2b,Jolly,Sweet,Sweet,9b,water electric
0b,2b,Mild,Bitter,Sour,1b,electric none
0b,2b,Naive,Sour,Dry,12b,fairy none
0b,2b,Naive,Bitter,Dry,4b,normal fairy
1b,2b,Impish,Sour,Dry,5b,fairy none
3b,2b,Bold,Sour,Spicy,2b,fairy flying
2b,2b,Timid,Sweet,Spicy,2b,psychic flying
4b,2b,Naughty,Spicy,Bitter,0b,psychic flying
1b,2b,Jolly,Sweet,Sweet,3b,electric none
3b,2b,Naive,Sweet,Dry,9b,electric none
5b,2b,Brave,Spicy,Sweet,14b,electric none
6b,2b,Brave,Spicy,Sweet,2b,electric dragon
4b,2b,Adamant,Spicy,Dry,11b,grass none
1b,2b,Bold,Sour,Spicy,11b,water fairy
3b,2b,Lax,Sour,Bitter,14b,water fairy
3b,2b,Lonely,Spicy,Sour,4b,rock none
4b,2b,Brave,Spicy,Sweet,14b,water none
1b,2b,Lax,Sweet,Bitter,5b,grass flying
2b,2b,Modest,Dry,Spicy,9b,grass flying
4b,2b,Lax,Sour,Bitter,9b,grass flying
2b,2b,Gentle,Dry,Sour,6b,normal none
0b,2b,Naughty,Bitter,Bitter,8b,grass none
3b,2b,Naughty,Spicy,Bitter,5b,grass none
3b,2b,Hasty,Sweet,Sour,12b,bug flying
0b,2b,Gentle,Dry,Sour,9b,water ground
3b,2b,Naughty,Spicy,Bitter,2b,water ground
5b,2b,Timid,Sweet,Spicy,14b,psychic none
5b,2b,Bold,Sour,Spicy,0b,dark none
3b,2b,Lonely,Spicy,Sour,5b,dark flying
4b,2b,Lonely,Spicy,Sour,1b,water psychic
4b,2b,Naive,Sweet,Dry,3b,ghost none
2b,2b,Adamant,Spicy,Dry,2b,psychic none
3b,2b,Relaxed,Sour,Sweet,11b,psychic none
4b,2b,Naughty,Spicy,Bitter,3b,normal psychic
1b,2b,Bold,Sour,Spicy,1b,bug none
4b,2b,Adamant,Spicy,Dry,7b,bug steel
3b,2b,Bold,Sour,Spicy,6b,normal none
3b,2b,Brave,Spicy,Sweet,2b,ground flying
5b,2b,Naughty,Spicy,Bitter,2b,steel ground
6b,2b,Naughty,Spicy,Bitter,3b,steel ground
2b,2b,Lonely,Spicy,Sour,0b,fairy none
4b,2b,Brave,Spicy,Sweet,11b,fairy none
3b,2b,Adamant,Spicy,Dry,9b,water poison
4b,2b,Adamant,Spicy,Dry,14b,bug steel
6b,2b,Brave,Spicy,Sweet,1b,bug steel
5b,2b,Impish,Sour,Dry,6b,bug rock
4b,2b,Brave,Spicy,Sweet,15b,bug fighting
6b,2b,Naughty,Spicy,Bitter,6b,bug fighting
3b,2b,Brave,Spicy,Sweet,13b,dark ice
2b,2b,Naughty,Spicy,Bitter,1b,normal none
4b,2b,Lonely,Spicy,Sour,15b,normal none
1b,2b,Jolly,Sweet,Sweet,2b,fire none
3b,2b,Impish,Sour,Dry,15b,fire rock
1b,2b,Naughty,Sour,Bitter,4b,ice ground
4b,2b,Lonely,Spicy,Sour,6b,ice ground
3b,2b,Lax,Sour,Bitter,3b,water rock
2b,2b,Timid,Sweet,Spicy,8b,water none
4b,2b,Adamant,Spicy,Dry,6b,water none
2b,2b,Jolly,Sweet,Sweet,4b,ice flying
4b,2b,Relaxed,Sour,Sweet,11b,water flying
4b,2b,Lonely,Spicy,Sour,10b,steel flying
2b,2b,Hasty,Sweet,Sour,1b,dark fire
4b,2b,Naughty,Spicy,Bitter,6b,dark fire
6b,2b,Lonely,Spicy,Sour,6b,dark fire
5b,2b,Naughty,Spicy,Bitter,1b,water dragon
2b,2b,Naughty,Dry,Bitter,9b,ground none
4b,2b,Adamant,Spicy,Dry,11b,ground none
5b,2b,Lonely,Spicy,Sour,6b,normal none
4b,2b,Lonely,Spicy,Sour,12b,normal none
1b,2b,Adamant,Sour,Dry,8b,normal none
0b,2b,Rash,Bitter,Bitter,9b,fighting none
4b,2b,?,Spicy,Bitter,4b,fighting none
2b,2b,Naive,Sweet,Dry,10b,ice psychic
2b,2b,Hasty,Sweet,Sour,1b,electric none
3b,2b,Naughty,Spicy,Bitter,10b,fire none
4b,2b,Brave,Spicy,Sweet,1b,normal none
5b,2b,Timid,Sweet,Spicy,6b,normal none
6b,2b,Brave,Spicy,Sweet,7b,electric none
6b,2b,Adamant,Spicy,Dry,4b,fire none
6b,2b,Adamant,Spicy,Dry,9b,water none
2b,2b,Brave,Dry,Sweet,2b,rock ground
3b,2b,Adamant,Spicy,Dry,2b,rock ground
6b,2b,Naughty,Spicy,Bitter,2b,rock dark
7b,2b,Adamant,Spicy,Dry,9b,rock dark
7b,2b,Adamant,Spicy,Dry,6b,psychic flying
7b,2b,Naughty,Spicy,Bitter,14b,fire flying
6b,2b,Lonely,Spicy,Sour,1b,psychic grass
2b,3b,Hasty,Sweet,Sour,2b,grass none
3b,3b,Hasty,Sweet,Sour,14b,grass none
5b,3b,Brave,Spicy,Sweet,6b,grass none
6b,3b,Lonely,Spicy,Sour,3b,grass dragon
2b,3b,Naive,Sweet,Dry,2b,fire none
3b,3b,Adamant,Spicy,Dry,8b,fire fighting
5b,3b,Naughty,Spicy,Bitter,13b,fire fighting
6b,3b,Adamant,Spicy,Dry,12b,fire fighting
2b,3b,Sassy,Dry,Sweet,7b,water none
3b,3b,Adamant,Spicy,Dry,11b,water ground
5b,3b,Naughty,Spicy,Bitter,7b,water ground
6b,3b,Lonely,Spicy,Sour,7b,water ground
0b,3b,Lax,Dry,Bitter,14b,dark none
3b,3b,Adamant,Spicy,Dry,3b,dark none
1b,3b,Gentle,Sour,Sour,3b,normal none
3b,3b,Timid,Dry,Spicy,3b,normal none
0b,3b,Calm,Sweet,Spicy,4b,bug none
0b,3b,Calm,Sour,Spicy,3b,bug none
3b,3b,Hasty,Sweet,Sour,0b,bug flying
0b,3b,Quiet,Sweet,Sweet,9b,bug none
3b,3b,Relaxed,Sour,Sweet,3b,bug poison
0b,3b,Lonely,Sour,Sour,11b,water grass
2b,3b,Naive,Sweet,Dry,10b,water grass
4b,3b,Relaxed,Sour,Sweet,13b,water grass
0b,3b,Hasty,Sweet,Sour,4b,grass none
2b,3b,Naive,Sweet,Dry,9b,grass dark
4b,3b,Brave,Spicy,Sweet,9b,grass dark
1b,3b,Gentle,Bitter,Sour,2b,normal flying
3b,3b,Adamant,Spicy,Dry,13b,normal flying
1b,3b,Bold,Sweet,Spicy,2b,water flying
3b,3b,Relaxed,Sour,Sweet,14b,water flying
0b,3b,Quiet,Sweet,Sweet,0b,psychic fairy
1b,3b,Jolly,Sweet,Sweet,2b,psychic fairy
5b,3b,Impish,Sour,Dry,14b,psychic fairy
6b,3b,Naughty,Spicy,Bitter,15b,psychic fairy
1b,3b,Sassy,Sour,Sweet,5b,bug water
3b,3b,Jolly,Sweet,Sweet,4b,bug flying
2b,3b,Relaxed,Bitter,Sweet,14b,grass none
4b,3b,Brave,Spicy,Sweet,8b,grass fighting
1b,3b,Calm,Sour,Spicy,4b,normal none
4b,3b,Naughty,Spicy,Bitter,4b,normal none
7b,3b,Adamant,Spicy,Dry,0b,normal none
1b,3b,Lax,Sour,Bitter,14b,bug ground
4b,3b,Naughty,Spicy,Bitter,4b,bug flying
1b,3b,Lonely,Spicy,Sour,0b,bug ghost
1b,3b,Lonely,Sweet,Sour,9b,normal none
2b,3b,Adamant,Spicy,Dry,3b,normal none
4b,3b,Lonely,Spicy,Sour,10b,normal none
1b,3b,Careful,Sour,Dry,14b,fighting none
4b,3b,Adamant,Spicy,Dry,2b,fighting none
0b,3b,Sassy,Sour,Sweet,2b,normal fairy
3b,3b,Impish,Sour,Dry,9b,rock none
1b,3b,Rash,Bitter,Bitter,7b,normal none
3b,3b,Impish,Sour,Dry,9b,normal none
3b,3b,Adamant,Spicy,Dry,5b,dark ghost
4b,3b,Naughty,Spicy,Bitter,5b,dark ghost
3b,3b,Lonely,Spicy,Sour,8b,steel fairy
4b,3b,Naughty,Spicy,Bitter,4b,steel fairy
2b,3b,Relaxed,Sour,Sweet,4b,steel rock
3b,3b,Adamant,Spicy,Dry,14b,steel rock
5b,3b,Naughty,Spicy,Bitter,5b,steel rock
6b,3b,Adamant,Spicy,Dry,4b,steel none
1b,3b,Calm,Sweet,Spicy,7b,fighting psychic
3b,3b,Relaxed,Sour,Sweet,9b,fighting psychic
5b,3b,Brave,Spicy,Sweet,6b,fighting psychic
2b,3b,Naive,Sweet,Dry,3b,electric none
4b,3b,Brave,Spicy,Sweet,7b,electric none
6b,3b,Lonely,Spicy,Sour,15b,electric none
3b,3b,Naive,Sweet,Dry,7b,electric none
3b,3b,Naive,Sweet,Dry,13b,electric none
3b,3b,Naughty,Spicy,Bitter,4b,bug none
3b,3b,Hasty,Sweet,Sour,0b,bug none
3b,3b,Hasty,Sweet,Sour,10b,grass poison
2b,3b,Adamant,Sour,Dry,3b,poison none
4b,3b,Brave,Spicy,Sweet,11b,poison none
2b,3b,Brave,Spicy,Sweet,5b,water dark
4b,3b,Adamant,Spicy,Dry,10b,water dark
5b,3b,Brave,Spicy,Sweet,8b,water dark
3b,3b,Jolly,Sweet,Sweet,3b,water none
4b,3b,Adamant,Spicy,Dry,1b,water none
2b,3b,Jolly,Sweet,Sweet,13b,fire ground
4b,3b,Lonely,Spicy,Sour,4b,fire ground
5b,3b,Brave,Spicy,Sweet,3b,fire ground
4b,3b,Brave,Spicy,Sweet,9b,fire none
2b,3b,Timid,Sweet,Spicy,7b,psychic none
4b,3b,Impish,Sour,Dry,6b,psychic none
2b,3b,Jolly,Sweet,Sweet,7b,normal none
1b,3b,Lonely,Spicy,Sour,8b,ground none
2b,3b,Bold,Bitter,Spicy,15b,ground dragon
5b,3b,Brave,Spicy,Sweet,11b,ground dragon
2b,3b,Adamant,Spicy,Dry,4b,grass none
4b,3b,Brave,Spicy,Sweet,5b,grass dark
2b,3b,Rash,Dry,Bitter,4b,normal flying
4b,3b,Relaxed,Sour,Sweet,1b,dragon flying
6b,3b,Brave,Spicy,Sweet,5b,dragon fairy
4b,3b,Adamant,Spicy,Dry,4b,normal none
4b,3b,Lonely,Spicy,Sour,8b,poison none
4b,3b,Relaxed,Sour,Sweet,13b,rock psychic
4b,3b,Lonely,Spicy,Sour,3b,rock psychic
1b,3b,Rash,Dry,Bitter,2b,water ground
4b,3b,Brave,Spicy,Sweet,12b,water ground
2b,3b,Brave,Spicy,Sweet,5b,water none
4b,3b,Naughty,Spicy,Bitter,14b,water dark
2b,3b,Modest,Dry,Spicy,9b,ground psychic
4b,3b,Lax,Sour,Bitter,11b,ground psychic
2b,3b,Bold,Sour,Spicy,10b,rock grass
4b,3b,Naughty,Spicy,Bitter,11b,rock grass
2b,3b,Adamant,Spicy,Dry,8b,rock bug
4b,3b,Brave,Spicy,Sweet,13b,rock bug
0b,3b,Gentle,Sour,Sour,13b,water none
5b,3b,Bold,Sour,Spicy,1b,water none
3b,3b,Bold,Sour,Spicy,9b,normal none
4b,3b,Lonely,Spicy,Sour,8b,normal none
2b,3b,Lonely,Spicy,Sour,15b,ghost none
4b,3b,Brave,Spicy,Sweet,13b,ghost none
5b,3b,Naughty,Spicy,Bitter,3b,ghost none
2b,3b,Bold,Sour,Spicy,6b,ghost none
4b,3b,Bold,Sour,Spicy,4b,ghost none
4b,3b,Relaxed,Sour,Sweet,7b,grass flying
3b,3b,Lax,Sour,Bitter,4b,psychic none
4b,3b,Naughty,Spicy,Bitter,8b,dark none
5b,3b,Brave,Spicy,Sweet,7b,dark none
1b,3b,Rash,Bitter,Bitter,4b,psychic none
2b,3b,Modest,Sweet,Spicy,13b,ice none
4b,3b,Lonely,Spicy,Sour,14b,ice none
6b,3b,Naughty,Spicy,Bitter,15b,ice none
1b,3b,Gentle,Dry,Sour,14b,ice water
3b,3b,Lax,Sour,Bitter,3b,ice water
5b,3b,Brave,Spicy,Sweet,3b,ice water
2b,3b,Impish,Sour,Dry,4b,water none
4b,3b,Lonely,Spicy,Sour,8b,water none
4b,3b,Adamant,Spicy,Dry,2b,water none
4b,3b,Brave,Spicy,Sweet,4b,water rock
2b,3b,Quiet,Dry,Sweet,5b,water none
2b,3b,Adamant,Spicy,Dry,11b,dragon none
3b,3b,Lonely,Spicy,Sour,2b,dragon none
6b,3b,Brave,Spicy,Sweet,8b,dragon flying
7b,3b,Brave,Spicy,Sweet,3b,dragon flying
2b,3b,Bold,Sour,Spicy,12b,steel psychic
3b,3b,Brave,Spicy,Sweet,12b,steel psychic
6b,3b,Naughty,Spicy,Bitter,12b,steel psychic
7b,3b,Lonely,Spicy,Sour,5b,steel psychic
6b,3b,Adamant,Spicy,Dry,14b,rock none
6b,3b,Relaxed,Sour,Sweet,4b,ice none
6b,3b,Lonely,Spicy,Sour,1b,steel none
6b,3b,Naughty,Spicy,Bitter,7b,dragon psychic
7b,3b,Brave,Spicy,Sweet,13b,dragon psychic
6b,3b,Lonely,Spicy,Sour,5b,dragon psychic
7b,3b,Naughty,Spicy,Bitter,11b,dragon psychic
7b,3b,Lonely,Spicy,Sour,9b,water none
8b,3b,Adamant,Spicy,Dry,8b,water none
7b,3b,Brave,Spicy,Sweet,2b,ground none
8b,3b,Adamant,Spicy,Dry,7b,ground fire
7b,3b,Brave,Spicy,Sweet,5b,dragon flying
8b,3b,Brave,Spicy,Sweet,6b,dragon flying
6b,3b,Adamant,Spicy,Dry,5b,steel psychic
6b,3b,Adamant,Spicy,Dry,12b,psychic none
6b,3b,Naughty,Spicy,Bitter,14b,psychic none
6b,3b,Bold,Sour,Spicy,9b,psychic none
6b,3b,Lonely,Spicy,Sour,10b,psychic none
2b,4b,Bold,Bitter,Spicy,11b,grass none
3b,4b,Brave,Spicy,Sweet,4b,grass none
5b,4b,Brave,Spicy,Sweet,15b,grass ground
2b,4b,Naughty,Sweet,Bitter,12b,fire none
3b,4b,Lonely,Spicy,Sour,12b,fire fighting
5b,4b,Lonely,Spicy,Sour,10b,fire fighting
2b,4b,Jolly,Sweet,Sweet,3b,water none
3b,4b,Bold,Sour,Spicy,11b,water none
5b,4b,Adamant,Spicy,Dry,8b,water steel
1b,4b,Naive,Sour,Dry,14b,normal flying
2b,4b,Lonely,Spicy,Sour,6b,normal flying
4b,4b,Brave,Spicy,Sweet,10b,normal flying
1b,4b,Lax,Sweet,Bitter,2b,normal none
3b,4b,Brave,Spicy,Sweet,8b,normal water
0b,4b,Lax,Sweet,Bitter,1b,bug none
3b,4b,Lonely,Spicy,Sour,11b,bug none
1b,4b,Adamant,Sour,Dry,15b,electric none
3b,4b,Lonely,Spicy,Sour,8b,electric none
5b,4b,Adamant,Spicy,Dry,5b,electric none
1b,4b,Quiet,Dry,Sweet,4b,grass poison
5b,4b,Lax,Sour,Bitter,13b,grass poison
2b,4b,Brave,Spicy,Sweet,12b,rock none
4b,4b,Adamant,Spicy,Dry,0b,rock none
2b,4b,Lax,Sour,Bitter,9b,rock steel
4b,4b,Relaxed,Sour,Sweet,3b,rock steel
1b,4b,Gentle,Bitter,Sour,2b,bug none
3b,4b,Impish,Sour,Dry,9b,bug grass
3b,4b,Naughty,Spicy,Bitter,3b,bug ground
3b,4b,Relaxed,Sour,Sweet,7b,bug steel
3b,4b,Lonely,Spicy,Sour,14b,bug flying
1b,4b,Sassy,Sweet,Sweet,11b,bug flying
4b,4b,Adamant,Spicy,Dry,6b,bug flying
3b,4b,Relaxed,Sour,Sweet,10b,electric none
2b,4b,Timid,Sweet,Spicy,14b,water none
4b,4b,Brave,Spicy,Sweet,9b,water none
1b,4b,Hasty,Sweet,Sour,10b,grass none
4b,4b,Lax,Sour,Bitter,1b,grass none
2b,4b,Lonely,Bitter,Sour,14b,water none
4b,4b,Lonely,Spicy,Sour,9b,water ground
4b,4b,Naughty,Spicy,Bitter,8b,normal none
2b,4b,Naive,Sweet,Dry,6b,ghost flying
4b,4b,Brave,Spicy,Sweet,3b,ghost flying
2b,4b,Brave,Bitter,Sweet,9b,normal none
4b,4b,Brave,Spicy,Sweet,12b,normal none
6b,4b,Naughty,Spicy,Bitter,9b,normal fighting
4b,4b,Timid,Sweet,Spicy,7b,ghost none
5b,4b,Lonely,Spicy,Sour,14b,dark flying
2b,4b,Jolly,Sour,Sweet,4b,normal none
4b,4b,Adamant,Spicy,Dry,13b,normal none
1b,4b,Jolly,Sweet,Sweet,11b,psychic none
2b,4b,Adamant,Bitter,Dry,4b,poison dark
4b,4b,Adamant,Spicy,Dry,9b,poison dark
2b,4b,Bold,Sour,Spicy,14b,steel psychic
4b,4b,Lonely,Spicy,Sour,11b,steel psychic
1b,4b,Adamant,Spicy,Dry,7b,rock none
2b,4b,Jolly,Sweet,Sweet,8b,psychic fairy
0b,4b,Modest,Dry,Spicy,3b,normal none
3b,4b,Hasty,Sweet,Sour,15b,normal flying
4b,4b,Adamant,Spicy,Dry,13b,ghost dark
2b,4b,Quiet,Bitter,Sweet,12b,dragon ground
3b,4b,Adamant,Spicy,Dry,5b,dragon ground
6b,4b,Naughty,Spicy,Bitter,6b,dragon ground
7b,4b,Adamant,Spicy,Dry,9b,dragon ground
3b,4b,Brave,Spicy,Sweet,1b,normal none
1b,4b,Modest,Sour,Spicy,11b,fighting none
5b,4b,Lonely,Spicy,Sour,12b,fighting steel
6b,4b,Lonely,Spicy,Sour,6b,fighting steel
2b,4b,Naughty,Spicy,Bitter,5b,ground none
5b,4b,Brave,Spicy,Sweet,9b,ground none
2b,4b,Bold,Sour,Spicy,5b,poison bug
4b,4b,Brave,Spicy,Sweet,11b,poison dark
2b,4b,Hasty,Sweet,Sour,2b,poison fighting
4b,4b,Naughty,Spicy,Bitter,10b,poison fighting
